Period,OTP,Ctl OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,GD,AS,AM,CI,WO,DF,PD,GT,TD
2023-06-18,78.26,100.0,23,5,1039,10.0,3.0,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-06-19,73.91,100.0,23,6,1321,11.0,5.0,4.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-20,65.0,100.0,20,7,1409,13.0,5.0,3.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-21,86.96,100.0,23,3,546,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-22,72.73,100.0,22,6,1182,13.0,6.0,5.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23,78.26,100.0,23,5,1191,11.0,4.0,4.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-24,85.71,100.0,21,3,402,8.0,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2023-06-25,91.3,100.0,23,2,448,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-26,95.65,100.0,23,1,166,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27,95.24,100.0,21,1,208,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28,78.26,100.0,23,5,789,11.0,5.0,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-29,90.91,100.0,22,2,525,4.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,70.83,100.0,24,7,1425,12.0,3.0,4.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,
2023-07-01,72.73,100.0,22,6,1594,7.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-07-02,60.87,100.0,23,9,1770,14.0,6.0,4.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-07-03,73.91,100.0,23,6,1208,11.0,3.0,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
2023-07-04,80.95,100.0,21,4,662,6.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,82.61,100.0,23,4,532,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,72.73,100.0,22,6,1043,15.0,5.0,4.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,
2023-07-07,58.33,100.0,24,10,1802,19.0,8.0,6.0,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
2023-07-08,68.18,100.0,22,7,1170,15.0,6.0,5.0,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-07-09,91.3,100.0,23,2,267,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10,78.26,100.0,23,5,1116,9.0,3.0,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-07-11,85.71,100.0,21,3,585,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12,86.96,100.0,23,3,390,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-07-13,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14,90.91,100.0,22,2,247,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-15,91.3,100.0,23,2,359,5.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-16,95.83,100.0,24,1,251,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-17,80.0,100.0,20,4,789,6.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,69.57,100.0,23,7,1096,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
2023-07-19,58.33,100.0,24,10,1550,17.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
2023-07-20,63.64,100.0,22,8,1079,14.0,3.0,4.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,
2023-07-21,96.0,100.0,25,1,151,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,91.3,100.0,23,2,524,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-23,91.67,100.0,24,2,564,5.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-07-24,87.5,100.0,24,3,726,4.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,68.18,100.0,22,7,1567,13.0,7.0,4.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26,87.5,100.0,24,3,816,7.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
2023-07-27,90.91,100.0,22,2,453,6.0,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-07-28,80.0,100.0,25,5,867,12.0,1.0,4.0,,,,,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,
2023-07-29,78.26,100.0,23,5,1148,7.0,3.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-30,73.91,100.0,23,6,945,10.0,3.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-07-31,79.17,100.0,24,5,982,6.0,3.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,90.0,100.0,20,2,365,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,95.65,100.0,23,1,258,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,82.61,100.0,23,4,872,8.0,1.0,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
2023-08-04,91.67,100.0,24,2,375,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-05,63.64,100.0,22,8,1605,10.0,7.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-08-06,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,95.83,100.0,24,1,292,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-08-08,85.71,100.0,21,3,647,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09,95.65,100.0,23,1,297,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-08-10,86.36,100.0,22,3,477,8.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,
2023-08-11,79.17,100.0,24,5,710,6.0,3.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-12,95.65,100.0,23,1,299,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-13,86.96,100.0,23,3,715,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-08-14,87.5,100.0,24,3,509,5.0,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-15,95.0,100.0,20,1,280,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-16,48.15,100.0,27,14,2704,28.0,7.0,10.0,,,,,,,,,3.0,1.0,,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,
2023-08-17,75.0,100.0,24,6,1052,11.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-18,87.5,100.0,24,3,618,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-08-19,83.33,100.0,24,4,667,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-20,95.65,100.0,23,1,183,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-21,100.0,100.0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-22,95.45,100.0,22,1,57,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,100.0,100.0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-24,95.83,100.0,24,1,287,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,100.0,100.0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-26,95.83,100.0,24,1,139,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,95.83,100.0,24,1,276,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,100.0,100.0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-29,95.65,100.0,23,1,226,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-30,82.61,100.0,23,4,824,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-08-31,83.33,100.0,24,4,777,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,91.3,100.0,23,2,283,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,90.0,100.0,20,2,315,4.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-09-03,91.67,100.0,24,2,293,4.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
2023-09-04,91.3,100.0,23,2,334,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,69.57,100.0,23,7,1142,11.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,100.0,100.0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,78.26,100.0,23,5,957,10.0,3.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-09-08,79.17,100.0,24,5,784,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2023-09-09,81.82,100.0,22,4,685,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-10,86.36,100.0,22,3,750,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
2023-09-11,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,95.65,100.0,23,1,242,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,91.3,100.0,23,2,380,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-09-14,82.61,100.0,23,4,676,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,75.0,100.0,24,6,1177,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,95.45,100.0,22,1,247,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,81.82,100.0,22,4,810,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-09-19,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-21,82.61,100.0,23,4,739,8.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-09-22,91.67,100.0,24,2,341,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,77.27,100.0,22,5,947,7.0,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2023-09-24,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,95.45,100.0,22,1,175,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,86.96,100.0,23,3,535,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,95.45,100.0,22,1,267,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,90.91,100.0,22,2,499,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,95.65,100.0,23,1,61,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,90.91,100.0,22,2,342,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-10-03,78.26,100.0,23,5,790,8.0,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04,86.36,100.0,22,3,608,5.0,1.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-05,60.87,100.0,23,9,1781,13.0,3.0,3.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
2023-10-06,83.33,100.0,24,4,716,5.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
2023-10-07,54.55,100.0,22,10,2271,17.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-10-08,95.45,100.0,22,1,148,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-09,90.91,100.0,22,2,488,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
2023-10-10,95.65,100.0,23,1,258,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-11,78.26,100.0,23,5,812,9.0,2.0,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
2023-10-12,95.65,100.0,23,1,131,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13,95.83,100.0,24,1,161,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-10-14,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-15,95.45,100.0,22,1,141,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,95.45,100.0,22,1,238,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17,82.61,100.0,23,4,601,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-18,86.36,100.0,22,3,480,4.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-19,86.96,100.0,23,3,527,6.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-20,95.83,100.0,24,1,158,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-21,59.09,100.0,22,9,1932,18.0,7.0,8.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023-10-22,72.73,100.0,22,6,1057,8.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-10-23,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-24,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25,91.3,100.0,23,2,197,5.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-28,86.36,100.0,22,3,557,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-10-29,81.82,95.45,22,4,831,6.0,2.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-30,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-31,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,72.73,100.0,22,6,1195,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-02,82.61,100.0,23,4,795,7.0,3.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03,90.48,100.0,21,2,320,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-04,85.0,100.0,20,3,571,6.0,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-05,86.36,100.0,22,3,698,4.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-06,90.91,100.0,22,2,285,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07,77.27,100.0,22,5,998,8.0,3.0,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-08,80.95,100.0,21,4,775,5.0,3.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09,60.87,100.0,23,9,1679,12.0,4.0,3.0,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10,94.74,100.0,19,1,182,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11,77.27,100.0,22,5,1022,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-12,95.24,100.0,21,1,190,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-13,86.96,100.0,23,3,622,5.0,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-14,75.0,100.0,20,5,1076,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-15,52.17,100.0,23,11,2091,15.0,6.0,4.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0
2023-11-16,90.91,100.0,22,2,455,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023-11-17,72.73,100.0,22,6,1374,9.0,3.0,4.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,68.18,100.0,22,7,1369,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2023-11-19,91.3,100.0,23,2,348,5.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20,91.3,100.0,23,2,534,4.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-21,95.45,100.0,22,1,128,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-22,95.45,100.0,22,1,81,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-23,91.67,100.0,24,2,443,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-24,66.67,100.0,21,7,1234,8.0,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023-11-25,69.57,100.0,23,7,1617,9.0,5.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-26,95.24,100.0,21,1,81,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,75.0,100.0,24,6,1153,7.0,3.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28,72.73,100.0,22,6,1286,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,78.26,100.0,23,5,911,8.0,2.0,,,,,,,,,3.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,90.91,100.0,22,2,405,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
