Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,TD,GD,AS,AM,CI,WO,DF,PD,GT,FT
2023-02-06,68.42,100.0,19,6,0,3314,1357,0,10.0,3.0,4.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,76.47,100.0,17,4,0,2552,704,0,5.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08,63.16,100.0,19,7,0,2865,1099,0,11.0,6.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,94.12,100.0,17,1,0,2737,172,0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,83.33,94.44,18,3,1,2752,493,153,9.0,1.0,3.0,,,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,68.42,94.74,19,6,1,2876,799,133,9.0,4.0,3.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,82.35,100.0,17,3,0,2739,527,0,5.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,73.68,100.0,19,5,0,2777,622,0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,64.71,100.0,17,6,0,2357,995,0,10.0,5.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15,77.78,100.0,18,4,0,2818,724,0,5.0,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16,58.82,94.12,17,7,1,2540,1096,212,12.0,4.0,4.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17,88.24,100.0,17,2,0,2565,402,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,73.68,100.0,19,5,0,2865,864,0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-19,94.44,94.44,18,1,1,2784,108,108,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,78.95,100.0,19,4,0,2742,798,0,7.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,62.5,100.0,16,6,0,2587,1041,0,12.0,5.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22,84.21,100.0,19,3,0,3203,528,0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,83.33,100.0,18,3,0,3245,732,0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-24,77.78,100.0,18,4,0,3685,965,0,8.0,3.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-25,52.63,89.47,19,9,2,4125,2299,596,27.0,8.0,9.0,,,,,,,4.0,1.0,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,77.78,100.0,18,4,0,3346,660,0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-27,63.16,94.74,19,7,1,3113,1245,180,11.0,6.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2023-02-28,88.89,100.0,18,2,0,2549,238,0,6.0,1.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,63.16,100.0,19,7,0,2860,1027,0,17.0,7.0,7.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02,83.33,100.0,18,3,0,2504,459,0,7.0,2.0,3.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-03-03,88.89,100.0,18,2,0,2467,415,0,4.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-04,78.95,94.74,19,4,1,2619,371,63,9.0,3.0,4.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-05,100.0,100.0,18,0,0,2693,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-06,94.74,100.0,19,1,0,2791,233,0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-07,83.33,100.0,18,3,0,2604,411,0,4.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-08,78.95,100.0,19,4,0,2845,720,0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-09,100.0,100.0,18,0,0,2757,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-10,88.89,100.0,18,2,0,3010,368,0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-11,89.47,100.0,19,2,0,2961,352,0,6.0,1.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-03-12,88.89,100.0,18,2,0,3105,393,0,4.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,94.74,100.0,19,1,0,3110,277,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-14,83.33,100.0,18,3,0,2801,591,0,6.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15,68.42,100.0,19,6,0,3229,915,0,8.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16,61.11,100.0,18,7,0,3062,1151,0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17,72.22,88.89,18,5,2,3161,1018,559,8.0,2.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-03-18,89.47,100.0,19,2,0,3249,453,0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19,57.89,100.0,19,8,0,3405,1664,0,18.0,6.0,8.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2023-03-20,84.21,100.0,19,3,0,3161,649,0,7.0,2.0,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21,68.42,94.74,19,6,1,2734,890,219,12.0,4.0,5.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-22,77.78,100.0,18,4,0,2947,758,0,10.0,3.0,4.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-03-23,73.68,100.0,19,5,0,2940,865,0,7.0,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2023-03-24,100.0,100.0,18,0,0,2835,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-25,63.16,100.0,19,7,0,2990,1284,0,18.0,5.0,7.0,,,,,,,,,2.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
2023-03-26,62.5,93.75,16,6,1,2597,1045,281,12.0,4.0,6.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,78.95,100.0,19,4,0,2880,447,0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,62.5,100.0,16,6,0,2598,1129,0,8.0,5.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29,61.11,100.0,18,7,0,3245,1441,0,10.0,6.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30,61.11,94.44,18,7,1,3294,1583,264,10.0,6.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,57.89,94.74,19,8,1,3842,1655,296,12.0,6.0,3.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
2023-04-01,52.63,100.0,19,9,0,3825,2104,0,11.0,8.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-02,88.24,100.0,17,2,0,3604,485,0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,63.16,100.0,19,7,0,3238,1167,0,12.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04,90.0,100.0,20,2,0,3139,485,0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05,94.74,100.0,19,1,0,2344,248,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06,94.44,100.0,18,1,0,2455,73,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-07,77.78,100.0,18,4,0,2371,509,0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-08,66.67,100.0,21,7,0,2897,1030,0,14.0,7.0,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09,52.94,100.0,17,8,0,2690,1377,0,16.0,6.0,7.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-04-10,89.47,100.0,19,2,0,3297,444,0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11,61.11,100.0,18,7,0,2546,939,0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-12,70.0,100.0,20,6,0,2909,868,0,6.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13,77.78,100.0,18,4,0,2643,598,0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-14,61.11,100.0,18,7,0,2738,1296,0,14.0,6.0,7.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-15,63.16,100.0,19,7,0,3280,1266,0,9.0,7.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-16,89.47,100.0,19,2,0,3255,515,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,78.95,100.0,19,4,0,2927,506,0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-18,83.33,100.0,18,3,0,2504,437,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-19,42.11,100.0,19,11,0,2504,1583,0,12.0,10.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-20,15.79,94.74,19,16,1,3073,2547,240,20.0,15.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21,72.22,100.0,18,5,0,2754,852,0,7.0,4.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22,73.68,100.0,19,5,0,3533,983,0,6.0,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-23,72.22,100.0,18,5,0,3224,977,0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,84.21,100.0,19,3,0,2814,471,0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,88.89,100.0,18,2,0,2484,291,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26,61.9,100.0,21,8,0,3156,1299,0,11.0,7.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-27,75.0,100.0,20,5,0,3133,803,0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-28,86.36,100.0,22,3,0,3914,783,0,6.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29,70.0,100.0,20,6,0,3729,1355,0,8.0,5.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,80.95,100.0,21,4,0,2757,496,0,7.0,3.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,86.36,100.0,22,3,0,2763,529,0,5.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,100.0,100.0,21,0,0,2292,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-03,86.96,100.0,23,3,0,2756,257,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04,77.27,90.91,22,5,2,2720,672,293,9.0,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
2023-05-05,83.33,100.0,24,4,0,3157,600,0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2023-05-06,71.43,100.0,21,6,0,3405,1023,0,7.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-07,52.17,100.0,23,11,0,3897,2199,0,19.0,8.0,7.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,47.83,91.3,23,12,2,3753,2253,501,16.0,9.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
2023-05-09,90.48,100.0,21,2,0,3084,446,0,5.0,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,82.61,100.0,23,4,0,3490,809,0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,77.27,100.0,22,5,0,3170,1162,0,9.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,95.83,100.0,24,1,0,3607,270,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,77.27,95.45,22,5,1,3418,867,213,9.0,5.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-14,100.0,100.0,22,0,0,3126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
