Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AM,AS,AT,CI,CZ,EZ,FR,FZ,GB,GD,GF,PH,PS,PW,RA,RL,RZ,SG,TZ,AG,AZ,FA,GZ,MX,PZ,TD,TN
2023-07,80.25,709.0,140.0,26253.0,453.0,175.0,15.0,10.0,177.0,2.0,1.0,1.0,2.0,9.0,7.0,1.0,6.0,3.0,1.0,2.0,12.0,4.0,1.0,22.0,2.0,,,,,,,,
2023-11,81.67,660.0,121.0,23918.0,354.0,160.0,,3.0,132.0,,,,,2.0,1.0,,,,3.0,,10.0,23.0,,,1.0,3.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0
