Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AG,AT,AX,FZ,GB,AD,CD,CZ,TC,AZ,GZ,MX,RA,RL,GF,TN,TZ,FL,PS,PW,EZ,PL,RZ,PH,SG,PB,DG,FF,FR,WZ,PZ,AS,WG,AE,ED,FA,GD,AM,CI,DF,WO,CP,PD,GT,TD
2023W35,91.3,161,14,2701,55,20,,29,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
2023W36,84.66,163,25,4195,88,44,,34,,,,,,,,,,,3.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
2023W37,89.31,159,17,3472,54,17,,32,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
2023W38,90.57,159,15,2837,41,18,,17,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
2023W39,94.9,157,8,1537,42,20,,19,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
2023W40,79.25,159,33,6508,107,44,,44,,,,,,,,,,,3.0,2.0,,1.0,,,,,2.0,,,,3.0,,,,,,,1.0,,,,,,,,1.0,6.0,,,,
2023W41,93.08,159,11,1998,48,13,,23,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,
2023W42,86.08,158,22,4077,82,29,,45,,,1.0,,,,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023W43,93.04,158,11,1811,52,18,,26,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,
2023W44,87.58,153,19,3712,61,26,,26,,,,,,,1.0,,,,1.0,4.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2023W45,80.79,151,29,5639,85,40,,31,,,,,,,,,,1.0,4.0,7.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
2023W46,77.12,153,35,7177,95,41,,37,,1.0,1.0,,,,,,1.0,1.0,3.0,3.0,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0
2023W47,86.08,158,22,4385,70,33,3.0,27,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
2023W48,82.14,112,20,3836,60,25,,19,,1.0,,,,,,1.0,,4.0,1.0,6.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0
